Order Date,Sales,Discount,Category,Sub Category,City,Region,year,month,quarter,weekofyear,dayofweek,dayofmonth,is_weekend
2022-01-26,1354,0.12,Snacks,Noodles,Ooty,South,2022,1,1,4,2,26,0
2022-01-26,1384,0.26,Food Grains,Dals & Pulses,Coimbatore,Central,2022,1,1,4,2,26,0
2022-01-26,1916,0.21,Oil & Masala,Spices,Dharmapuri,South,2022,1,1,4,2,26,0
2022-01-26,1991,0.33,Food Grains,Organic Staples,Theni,South,2022,1,1,4,2,26,0
2022-01-26,2122,0.33,Fruits & Veggies,Organic Fruits,Ooty,South,2022,1,1,4,2,26,0
2022-01-26,2431,0.1,Snacks,Chocolates,Namakkal,South,2022,1,1,4,2,26,0
2022-01-27,540,0.34,Beverages,Soft Drinks,Dharmapuri,West,2022,1,1,4,3,27,0
2022-01-27,1394,0.25,Fruits & Veggies,Organic Fruits,Perambalur,West,2022,1,1,4,3,27,0
2022-01-27,2370,0.13,Bakery,Biscuits,Ooty,West,2022,1,1,4,3,27,0
2022-01-28,636,0.34,Snacks,Chocolates,Perambalur,East,2022,1,1,4,4,28,0
2022-01-30,1906,0.33,Fruits & Veggies,Fresh Vegetables,Nagercoil,Central,2022,1,1,4,6,30,1
2022-01-30,2262,0.1,Fruits & Veggies,Organic Vegetables,Nagercoil,Central,2022,1,1,4,6,30,1
2022-01-31,1820,0.23,"Eggs, Meat & Fish",Mutton,Karur,West,2022,1,1,5,0,31,0
2022-02-02,525,0.27,Fruits & Veggies,Organic Vegetables,Vellore,South,2022,2,1,5,2,2,0
2022-02-02,612,0.16,Snacks,Chocolates,Chennai,South,2022,2,1,5,2,2,0
2022-02-02,904,0.34,Oil & Masala,Spices,Kanyakumari,West,2022,2,1,5,2,2,0
2022-02-03,1733,0.34,Oil & Masala,Edible Oil & Ghee,Cumbum,East,2022,2,1,5,3,3,0
2022-02-03,1823,0.23,Snacks,Chocolates,Trichy,East,2022,2,1,5,3,3,0
2022-02-03,1919,0.35,"Eggs, Meat & Fish",Fish,Theni,East,2022,2,1,5,3,3,0
2022-02-03,2400,0.29,Food Grains,Dals & Pulses,Bodi,East,2022,2,1,5,3,3,0
2022-02-04,1134,0.22,Snacks,Chocolates,Vellore,Central,2022,2,1,5,4,4,0
2022-02-04,1517,0.23,Beverages,Health Drinks,Krishnagiri,South,2022,2,1,5,4,4,0
2022-02-04,1664,0.35,Oil & Masala,Masalas,Ramanadhapuram,South,2022,2,1,5,4,4,0
2022-02-04,1776,0.32,Oil & Masala,Spices,Karur,South,2022,2,1,5,4,4,0
2022-02-04,1826,0.27,Fruits & Veggies,Fresh Fruits,Tirunelveli,South,2022,2,1,5,4,4,0
2022-02-04,2023,0.33,Snacks,Cookies,Dindigul,Central,2022,2,1,5,4,4,0
2022-02-05,537,0.34,Oil & Masala,Masalas,Cumbum,South,2022,2,1,5,5,5,1
2022-02-05,2463,0.13,Bakery,Biscuits,Coimbatore,East,2022,2,1,5,5,5,1
2022-02-06,544,0.3,"Eggs, Meat & Fish",Eggs,Tirunelveli,West,2022,2,1,5,6,6,1
2022-02-06,1065,0.18,Snacks,Noodles,Vellore,South,2022,2,1,5,6,6,1
2022-02-06,1271,0.3,Fruits & Veggies,Fresh Vegetables,Tenkasi,West,2022,2,1,5,6,6,1
2022-02-06,1574,0.18,Oil & Masala,Edible Oil & Ghee,Kanyakumari,South,2022,2,1,5,6,6,1
2022-02-06,2114,0.23,Bakery,Breads & Buns,Vellore,South,2022,2,1,5,6,6,1
2022-02-07,929,0.23,Oil & Masala,Spices,Trichy,East,2022,2,1,6,0,7,0
2022-02-07,1647,0.29,Snacks,Cookies,Virudhunagar,East,2022,2,1,6,0,7,0
2022-02-08,746,0.2,Oil & Masala,Edible Oil & Ghee,Madurai,Central,2022,2,1,6,1,8,0
2022-02-08,1227,0.33,Fruits & Veggies,Fresh Vegetables,Bodi,Central,2022,2,1,6,1,8,0
2022-02-08,1391,0.35,Snacks,Chocolates,Nagercoil,Central,2022,2,1,6,1,8,0
2022-02-09,683,0.21,Snacks,Cookies,Tirunelveli,Central,2022,2,1,6,2,9,0
2022-02-09,932,0.15,Beverages,Soft Drinks,Chennai,Central,2022,2,1,6,2,9,0
2022-02-09,947,0.19,Snacks,Cookies,Bodi,East,2022,2,1,6,2,9,0
2022-02-09,949,0.3,Bakery,Cakes,Pudukottai,Central,2022,2,1,6,2,9,0
2022-02-09,1379,0.33,Snacks,Chocolates,Perambalur,East,2022,2,1,6,2,9,0
2022-02-09,1612,0.16,"Eggs, Meat & Fish",Chicken,Coimbatore,East,2022,2,1,6,2,9,0
2022-02-09,1840,0.16,Food Grains,Organic Staples,Virudhunagar,East,2022,2,1,6,2,9,0
2022-02-09,2122,0.22,Bakery,Biscuits,Karur,East,2022,2,1,6,2,9,0
2022-02-09,2256,0.16,Fruits & Veggies,Organic Vegetables,Madurai,South,2022,2,1,6,2,9,0
2022-02-10,546,0.22,Oil & Masala,Edible Oil & Ghee,Namakkal,West,2022,2,1,6,3,10,0
2022-02-10,702,0.35,Fruits & Veggies,Fresh Vegetables,Krishnagiri,West,2022,2,1,6,3,10,0
2022-02-10,1170,0.27,Oil & Masala,Masalas,Tirunelveli,West,2022,2,1,6,3,10,0
2022-02-10,1375,0.21,"Eggs, Meat & Fish",Mutton,Vellore,West,2022,2,1,6,3,10,0
2022-02-10,2078,0.33,Snacks,Cookies,Perambalur,West,2022,2,1,6,3,10,0
2022-02-10,2248,0.16,"Eggs, Meat & Fish",Mutton,Vellore,West,2022,2,1,6,3,10,0
2022-02-10,2344,0.22,Fruits & Veggies,Organic Vegetables,Madurai,West,2022,2,1,6,3,10,0
2022-02-11,573,0.33,Beverages,Soft Drinks,Ooty,Central,2022,2,1,6,4,11,0
2022-02-11,887,0.35,Bakery,Breads & Buns,Salem,East,2022,2,1,6,4,11,0
2022-02-11,1215,0.18,Beverages,Health Drinks,Viluppuram,West,2022,2,1,6,4,11,0
2022-02-11,1404,0.31,Fruits & Veggies,Organic Vegetables,Tenkasi,East,2022,2,1,6,4,11,0
2022-02-11,1560,0.15,Snacks,Chocolates,Bodi,South,2022,2,1,6,4,11,0
2022-02-11,1672,0.13,Beverages,Health Drinks,Ramanadhapuram,West,2022,2,1,6,4,11,0
2022-02-11,1682,0.21,Oil & Masala,Spices,Pudukottai,East,2022,2,1,6,4,11,0
2022-02-11,1765,0.13,Beverages,Soft Drinks,Nagercoil,West,2022,2,1,6,4,11,0
2022-02-11,1845,0.11,Fruits & Veggies,Fresh Vegetables,Dindigul,East,2022,2,1,6,4,11,0
2022-02-11,1905,0.24,"Eggs, Meat & Fish",Eggs,Perambalur,East,2022,2,1,6,4,11,0
2022-02-11,2417,0.34,Food Grains,Organic Staples,Ooty,West,2022,2,1,6,4,11,0
2022-02-12,530,0.28,Oil & Masala,Masalas,Madurai,East,2022,2,1,6,5,12,1
2022-02-12,551,0.2,Snacks,Noodles,Virudhunagar,Central,2022,2,1,6,5,12,1
2022-02-12,910,0.11,Bakery,Biscuits,Dharmapuri,East,2022,2,1,6,5,12,1
2022-02-12,973,0.15,Bakery,Breads & Buns,Karur,South,2022,2,1,6,5,12,1
2022-02-12,1006,0.11,Fruits & Veggies,Fresh Vegetables,Pudukottai,Central,2022,2,1,6,5,12,1
2022-02-12,1082,0.12,Oil & Masala,Spices,Karur,East,2022,2,1,6,5,12,1
2022-02-12,1276,0.32,Food Grains,Dals & Pulses,Ooty,South,2022,2,1,6,5,12,1
2022-02-12,1297,0.27,Fruits & Veggies,Fresh Vegetables,Tirunelveli,East,2022,2,1,6,5,12,1
2022-02-12,1331,0.35,Food Grains,Atta & Flour,Krishnagiri,Central,2022,2,1,6,5,12,1
2022-02-12,1409,0.11,Beverages,Soft Drinks,Coimbatore,East,2022,2,1,6,5,12,1
2022-02-12,1419,0.27,Bakery,Breads & Buns,Vellore,East,2022,2,1,6,5,12,1
2022-02-12,1556,0.22,Fruits & Veggies,Fresh Fruits,Bodi,East,2022,2,1,6,5,12,1
2022-02-12,2057,0.2,Snacks,Cookies,Tenkasi,Central,2022,2,1,6,5,12,1
2022-02-12,2304,0.14,Beverages,Health Drinks,Pudukottai,East,2022,2,1,6,5,12,1
2022-02-14,652,0.26,"Eggs, Meat & Fish",Fish,Dharmapuri,Central,2022,2,1,7,0,14,0
2022-02-14,1275,0.3,Bakery,Cakes,Dharmapuri,West,2022,2,1,7,0,14,0
2022-02-14,1392,0.12,Bakery,Biscuits,Ooty,West,2022,2,1,7,0,14,0
2022-02-14,1809,0.32,Bakery,Biscuits,Tenkasi,West,2022,2,1,7,0,14,0
2022-02-15,1460,0.16,"Eggs, Meat & Fish",Eggs,Virudhunagar,West,2022,2,1,7,1,15,0
2022-02-16,2003,0.1,Fruits & Veggies,Organic Vegetables,Namakkal,Central,2022,2,1,7,2,16,0
2022-02-16,2490,0.24,Fruits & Veggies,Fresh Fruits,Theni,Central,2022,2,1,7,2,16,0
2022-02-17,1090,0.29,Fruits & Veggies,Organic Fruits,Coimbatore,Central,2022,2,1,7,3,17,0
2022-02-18,527,0.21,Snacks,Cookies,Cumbum,Central,2022,2,1,7,4,18,0
2022-02-18,547,0.12,Food Grains,Rice,Madurai,Central,2022,2,1,7,4,18,0
2022-02-20,602,0.18,Beverages,Health Drinks,Perambalur,Central,2022,2,1,7,6,20,1
2022-02-20,1319,0.15,Oil & Masala,Masalas,Bodi,West,2022,2,1,7,6,20,1
2022-02-20,1808,0.34,Fruits & Veggies,Organic Fruits,Nagercoil,Central,2022,2,1,7,6,20,1
2022-02-21,1896,0.19,Oil & Masala,Masalas,Trichy,Central,2022,2,1,8,0,21,0
2022-02-22,1618,0.16,"Eggs, Meat & Fish",Chicken,Perambalur,West,2022,2,1,8,1,22,0
2022-02-23,1120,0.35,Food Grains,Rice,Salem,Central,2022,2,1,8,2,23,0
2022-02-23,2085,0.16,Food Grains,Organic Staples,Ramanadhapuram,Central,2022,2,1,8,2,23,0
2022-02-24,672,0.24,Beverages,Health Drinks,Perambalur,West,2022,2,1,8,3,24,0
2022-02-24,946,0.15,Snacks,Chocolates,Pudukottai,West,2022,2,1,8,3,24,0
2022-02-27,1960,0.15,Beverages,Soft Drinks,Krishnagiri,East,2022,2,1,8,6,27,1
2022-03-01,864,0.26,Bakery,Breads & Buns,Salem,Central,2022,3,1,9,1,1,0
2022-03-02,1015,0.22,Oil & Masala,Masalas,Coimbatore,West,2022,3,1,9,2,2,0
2022-03-02,1546,0.28,Oil & Masala,Masalas,Madurai,West,2022,3,1,9,2,2,0
2022-03-03,861,0.2,"Eggs, Meat & Fish",Eggs,Pudukottai,South,2022,3,1,9,3,3,0
2022-03-03,1289,0.11,Oil & Masala,Masalas,Tirunelveli,East,2022,3,1,9,3,3,0
2022-03-03,1393,0.13,Fruits & Veggies,Fresh Vegetables,Tirunelveli,East,2022,3,1,9,3,3,0
2022-03-03,1570,0.21,"Eggs, Meat & Fish",Chicken,Kanyakumari,East,2022,3,1,9,3,3,0
2022-03-03,1719,0.18,Snacks,Chocolates,Coimbatore,Central,2022,3,1,9,3,3,0
2022-03-03,2079,0.11,"Eggs, Meat & Fish",Mutton,Kanyakumari,East,2022,3,1,9,3,3,0
2022-03-03,2173,0.31,"Eggs, Meat & Fish",Eggs,Madurai,East,2022,3,1,9,3,3,0
2022-03-03,2413,0.28,Beverages,Soft Drinks,Perambalur,West,2022,3,1,9,3,3,0
2022-03-03,2472,0.27,"Eggs, Meat & Fish",Mutton,Pudukottai,East,2022,3,1,9,3,3,0
2022-03-04,1416,0.17,Oil & Masala,Spices,Dharmapuri,West,2022,3,1,9,4,4,0
2022-03-04,1900,0.23,Fruits & Veggies,Organic Fruits,Trichy,West,2022,3,1,9,4,4,0
2022-03-04,2209,0.1,"Eggs, Meat & Fish",Eggs,Bodi,West,2022,3,1,9,4,4,0
2022-03-05,558,0.11,Food Grains,Rice,Coimbatore,East,2022,3,1,9,5,5,1
2022-03-05,994,0.18,Bakery,Biscuits,Virudhunagar,East,2022,3,1,9,5,5,1
2022-03-05,1407,0.1,"Eggs, Meat & Fish",Mutton,Tenkasi,Central,2022,3,1,9,5,5,1
2022-03-06,794,0.22,Food Grains,Dals & Pulses,Salem,Central,2022,3,1,9,6,6,1
2022-03-06,799,0.26,Oil & Masala,Masalas,Madurai,West,2022,3,1,9,6,6,1
2022-03-06,1789,0.32,Food Grains,Atta & Flour,Dindigul,Central,2022,3,1,9,6,6,1
2022-03-06,2368,0.2,"Eggs, Meat & Fish",Chicken,Madurai,Central,2022,3,1,9,6,6,1
2022-03-06,2491,0.3,Snacks,Noodles,Kanyakumari,Central,2022,3,1,9,6,6,1
2022-03-08,1559,0.31,Food Grains,Dals & Pulses,Bodi,East,2022,3,1,10,1,8,0
2022-03-08,1742,0.13,Food Grains,Organic Staples,Krishnagiri,East,2022,3,1,10,1,8,0
2022-03-08,2040,0.23,Snacks,Noodles,Perambalur,East,2022,3,1,10,1,8,0
2022-03-08,2138,0.12,Oil & Masala,Spices,Namakkal,West,2022,3,1,10,1,8,0
2022-03-08,2245,0.24,Food Grains,Organic Staples,Ramanadhapuram,West,2022,3,1,10,1,8,0
2022-03-08,2421,0.25,Bakery,Cakes,Salem,West,2022,3,1,10,1,8,0
2022-03-09,1062,0.17,Beverages,Health Drinks,Krishnagiri,Central,2022,3,1,10,2,9,0
2022-03-09,1526,0.22,Bakery,Cakes,Karur,East,2022,3,1,10,2,9,0
2022-03-10,540,0.23,Food Grains,Atta & Flour,Trichy,Central,2022,3,1,10,3,10,0
2022-03-10,797,0.11,Fruits & Veggies,Fresh Fruits,Trichy,West,2022,3,1,10,3,10,0
2022-03-10,853,0.25,Bakery,Biscuits,Pudukottai,West,2022,3,1,10,3,10,0
2022-03-10,889,0.14,"Eggs, Meat & Fish",Chicken,Namakkal,South,2022,3,1,10,3,10,0
2022-03-10,904,0.2,Beverages,Health Drinks,Dharmapuri,Central,2022,3,1,10,3,10,0
2022-03-10,963,0.29,Beverages,Soft Drinks,Dindigul,East,2022,3,1,10,3,10,0
2022-03-10,1249,0.1,Oil & Masala,Edible Oil & Ghee,Trichy,Central,2022,3,1,10,3,10,0
2022-03-10,1378,0.3,"Eggs, Meat & Fish",Chicken,Tenkasi,South,2022,3,1,10,3,10,0
2022-03-10,1975,0.3,"Eggs, Meat & Fish",Chicken,Vellore,Central,2022,3,1,10,3,10,0
2022-03-10,2042,0.18,"Eggs, Meat & Fish",Chicken,Perambalur,East,2022,3,1,10,3,10,0
2022-03-10,2187,0.22,Snacks,Chocolates,Krishnagiri,Central,2022,3,1,10,3,10,0
2022-03-10,2282,0.3,Bakery,Biscuits,Viluppuram,Central,2022,3,1,10,3,10,0
2022-03-10,2455,0.16,Oil & Masala,Masalas,Cumbum,East,2022,3,1,10,3,10,0
2022-03-11,585,0.33,Beverages,Soft Drinks,Dindigul,South,2022,3,1,10,4,11,0
2022-03-11,588,0.11,Snacks,Cookies,Dindigul,East,2022,3,1,10,4,11,0
2022-03-11,632,0.22,Bakery,Breads & Buns,Chennai,East,2022,3,1,10,4,11,0
2022-03-11,688,0.27,Oil & Masala,Masalas,Salem,East,2022,3,1,10,4,11,0
2022-03-11,906,0.1,Bakery,Breads & Buns,Trichy,West,2022,3,1,10,4,11,0
2022-03-11,1259,0.13,Bakery,Biscuits,Madurai,South,2022,3,1,10,4,11,0
2022-03-11,1431,0.29,Oil & Masala,Masalas,Nagercoil,East,2022,3,1,10,4,11,0
2022-03-11,1451,0.14,Snacks,Chocolates,Madurai,Central,2022,3,1,10,4,11,0
