rad_id_2025,Order Date,Sales_faktisk,Discount,Category,Sub Category,City,Region,year,month,quarter,weekofyear,dayofweek,dayofmonth,is_weekend,prognose_lineaer_regresjon,prognose_random_forest_baseline,prognose_random_forest_tuned,feil_lineaer_regresjon,abs_feil_lineaer_regresjon,ape_lineaer_regresjon_pct,feil_random_forest_baseline,abs_feil_random_forest_baseline,ape_random_forest_baseline_pct,feil_random_forest_tuned,abs_feil_random_forest_tuned,ape_random_forest_tuned_pct
11,2025-01-04,562,0.24,"Eggs, Meat & Fish",Chicken,Bodi,West,2025,1,1,1,5,4,1,1552.403944,1301.045,1435.806569,990.403944,990.403944,176.2285,739.045,739.045,131.5027,873.806569,873.806569,155.4816
12,2025-01-04,603,0.31,Snacks,Chocolates,Coimbatore,West,2025,1,1,1,5,4,1,1393.874661,1367.25,1405.795229,790.874661,790.874661,131.1567,764.25,764.25,126.7413,802.795229,802.795229,133.1335
13,2025-01-04,952,0.28,Oil & Masala,Edible Oil & Ghee,Viluppuram,South,2025,1,1,1,5,4,1,1547.132912,1516.895,1492.825788,595.132912,595.132912,62.514,564.895,564.895,59.3377,540.825788,540.825788,56.8094
14,2025-01-04,1033,0.1,Snacks,Noodles,Viluppuram,South,2025,1,1,1,5,4,1,1538.766136,1456.085,1530.837968,505.766136,505.766136,48.9609,423.085,423.085,40.9569,497.837968,497.837968,48.1934
15,2025-01-04,1061,0.25,Fruits & Veggies,Fresh Vegetables,Tirunelveli,West,2025,1,1,1,5,4,1,1471.927736,1260.075,1416.457477,410.927736,410.927736,38.7302,199.075,199.075,18.763,355.457477,355.457477,33.5021
16,2025-01-04,1100,0.21,Food Grains,Dals & Pulses,Kanyakumari,South,2025,1,1,1,5,4,1,1579.749977,1615.505,1537.517477,479.749977,479.749977,43.6136,515.505,515.505,46.8641,437.517477,437.517477,39.7743
17,2025-01-04,1436,0.11,"Eggs, Meat & Fish",Chicken,Namakkal,Central,2025,1,1,1,5,4,1,1546.779158,1443.53,1513.679829,110.779158,110.779158,7.7144,7.53,7.53,0.5244,77.679829,77.679829,5.4095
18,2025-01-04,1455,0.13,"Eggs, Meat & Fish",Mutton,Trichy,Central,2025,1,1,1,5,4,1,1617.377197,1625.885,1534.712564,162.377197,162.377197,11.1599,170.885,170.885,11.7447,79.712564,79.712564,5.4785
19,2025-01-04,1750,0.34,Food Grains,Dals & Pulses,Nagercoil,West,2025,1,1,1,5,4,1,1455.35555,1486.48,1488.931093,-294.64445,294.64445,16.8368,-263.52,263.52,15.0583,-261.068907,261.068907,14.9182
20,2025-01-04,2153,0.35,"Eggs, Meat & Fish",Mutton,Bodi,East,2025,1,1,1,5,4,1,1547.668744,1418.0,1466.370584,-605.331256,605.331256,28.1157,-735.0,735.0,34.1384,-686.629416,686.629416,31.8918
21,2025-01-04,2293,0.19,Snacks,Noodles,Ooty,South,2025,1,1,1,5,4,1,1499.726811,1498.62,1491.562988,-793.273189,793.273189,34.5954,-794.38,794.38,34.6437,-801.437012,801.437012,34.9515
22,2025-01-04,2368,0.14,Oil & Masala,Spices,Salem,South,2025,1,1,1,5,4,1,1574.706789,1496.055,1539.230955,-793.293211,793.293211,33.5006,-871.945,871.945,36.822,-828.769045,828.769045,34.9987
23,2025-01-05,951,0.3,Snacks,Chocolates,Pudukottai,South,2025,1,1,1,6,5,1,1492.593914,1344.99,1423.585917,541.593914,541.593914,56.9499,393.99,393.99,41.429,472.585917,472.585917,49.6936
24,2025-01-05,1149,0.22,Food Grains,Dals & Pulses,Vellore,South,2025,1,1,1,6,5,1,1612.825534,1498.955,1536.416941,463.825534,463.825534,40.3678,349.955,349.955,30.4574,387.416941,387.416941,33.7177
25,2025-01-05,1328,0.32,Oil & Masala,Edible Oil & Ghee,Bodi,South,2025,1,1,1,6,5,1,1524.010782,1374.905,1474.808245,196.010782,196.010782,14.7598,46.905,46.905,3.532,146.808245,146.808245,11.0548
26,2025-01-05,1341,0.16,Bakery,Breads & Buns,Viluppuram,South,2025,1,1,1,6,5,1,1534.948807,1501.59,1548.064206,193.948807,193.948807,14.463,160.59,160.59,11.9754,207.064206,207.064206,15.441
27,2025-01-05,1827,0.29,Fruits & Veggies,Fresh Fruits,Kanyakumari,South,2025,1,1,1,6,5,1,1526.03257,1380.065,1455.344973,-300.96743,300.96743,16.4733,-446.935,446.935,24.4628,-371.655027,371.655027,20.3424
28,2025-01-05,2169,0.14,Beverages,Soft Drinks,Tirunelveli,South,2025,1,1,1,6,5,1,1543.815981,1613.41,1520.129061,-625.184019,625.184019,28.8236,-555.59,555.59,25.615,-648.870939,648.870939,29.9157
29,2025-01-06,557,0.16,Beverages,Health Drinks,Bodi,Central,2025,1,1,2,0,6,0,1479.505338,1366.0,1462.418686,922.505338,922.505338,165.6203,809.0,809.0,145.2424,905.418686,905.418686,162.5527
30,2025-01-06,644,0.14,Oil & Masala,Edible Oil & Ghee,Virudhunagar,Central,2025,1,1,2,0,6,0,1500.682802,1284.425,1482.940881,856.682802,856.682802,133.0253,640.425,640.425,99.4449,838.940881,838.940881,130.2703
31,2025-01-06,695,0.29,Oil & Masala,Masalas,Pudukottai,Central,2025,1,1,2,0,6,0,1574.851786,1581.05,1546.791332,879.851786,879.851786,126.5974,886.05,886.05,127.4892,851.791332,851.791332,122.5599
32,2025-01-06,907,0.33,Beverages,Health Drinks,Ooty,Central,2025,1,1,2,0,6,0,1440.258482,1247.77,1409.418645,533.258482,533.258482,58.7937,340.77,340.77,37.5711,502.418645,502.418645,55.3935
33,2025-01-06,972,0.33,Beverages,Health Drinks,Cumbum,East,2025,1,1,2,0,6,0,1446.248832,1210.51,1442.367806,474.248832,474.248832,48.791,238.51,238.51,24.5381,470.367806,470.367806,48.3917
34,2025-01-06,1180,0.17,Food Grains,Atta & Flour,Ooty,East,2025,1,1,2,0,6,0,1549.093217,1411.97,1526.876533,369.093217,369.093217,31.2791,231.97,231.97,19.6585,346.876533,346.876533,29.3963
35,2025-01-06,1486,0.35,Food Grains,Dals & Pulses,Namakkal,Central,2025,1,1,2,0,6,0,1509.723473,1376.15,1520.791365,23.723473,23.723473,1.5965,-109.85,109.85,7.3923,34.791365,34.791365,2.3413
36,2025-01-06,1530,0.18,Fruits & Veggies,Organic Vegetables,Pudukottai,East,2025,1,1,2,0,6,0,1570.95858,1390.495,1488.537497,40.95858,40.95858,2.677,-139.505,139.505,9.118,-41.462503,41.462503,2.71
37,2025-01-06,1531,0.31,Fruits & Veggies,Organic Vegetables,Karur,Central,2025,1,1,2,0,6,0,1495.458995,1444.98,1469.279766,-35.541005,35.541005,2.3214,-86.02,86.02,5.6185,-61.720234,61.720234,4.0314
38,2025-01-06,1924,0.11,"Eggs, Meat & Fish",Fish,Krishnagiri,East,2025,1,1,2,0,6,0,1513.3704,1325.415,1494.732937,-410.6296,410.6296,21.3425,-598.585,598.585,31.1115,-429.267063,429.267063,22.3112
39,2025-01-06,2240,0.3,Food Grains,Rice,Kanyakumari,East,2025,1,1,2,0,6,0,1521.821448,1515.535,1552.844956,-718.178552,718.178552,32.0615,-724.465,724.465,32.3422,-687.155044,687.155044,30.6766
40,2025-01-07,1438,0.16,"Eggs, Meat & Fish",Mutton,Ramanadhapuram,Central,2025,1,1,2,1,7,0,1580.20921,1758.365,1601.887493,142.20921,142.20921,9.8894,320.365,320.365,22.2785,163.887493,163.887493,11.3969
41,2025-01-07,1953,0.19,Fruits & Veggies,Fresh Fruits,Chennai,Central,2025,1,1,2,1,7,0,1512.807146,1305.88,1487.212562,-440.192854,440.192854,22.5393,-647.12,647.12,33.1347,-465.787438,465.787438,23.8498
42,2025-01-07,2225,0.28,"Eggs, Meat & Fish",Fish,Pudukottai,Central,2025,1,1,2,1,7,0,1517.944481,1482.485,1501.27465,-707.055519,707.055519,31.7778,-742.515,742.515,33.3715,-723.72535,723.72535,32.527
43,2025-01-08,732,0.35,Snacks,Cookies,Krishnagiri,West,2025,1,1,2,2,8,0,1437.668439,1451.41,1440.075965,705.668439,705.668439,96.4028,719.41,719.41,98.2801,708.075965,708.075965,96.7317
44,2025-01-08,1643,0.26,Oil & Masala,Spices,Ooty,Central,2025,1,1,2,2,8,0,1504.216118,1488.6,1532.107452,-138.783882,138.783882,8.447,-154.4,154.4,9.3974,-110.892548,110.892548,6.7494
45,2025-01-08,1685,0.17,"Eggs, Meat & Fish",Eggs,Ramanadhapuram,Central,2025,1,1,2,2,8,0,1544.124942,1556.68,1554.09861,-140.875058,140.875058,8.3605,-128.32,128.32,7.6154,-130.90139,130.90139,7.7686
46,2025-01-08,1905,0.27,Fruits & Veggies,Fresh Vegetables,Tirunelveli,West,2025,1,1,2,2,8,0,1475.846878,1401.765,1475.86682,-429.153122,429.153122,22.5277,-503.235,503.235,26.4165,-429.13318,429.13318,22.5267
47,2025-01-08,2253,0.18,Snacks,Noodles,Madurai,Central,2025,1,1,2,2,8,0,1512.522182,1491.265,1511.022541,-740.477818,740.477818,32.8663,-761.735,761.735,33.8098,-741.977459,741.977459,32.9329
48,2025-01-08,2415,0.22,Fruits & Veggies,Organic Fruits,Krishnagiri,South,2025,1,1,2,2,8,0,1475.628038,1563.095,1512.749089,-939.371962,939.371962,38.8974,-851.905,851.905,35.2756,-902.250911,902.250911,37.3603
49,2025-01-09,611,0.3,Beverages,Health Drinks,Viluppuram,West,2025,1,1,2,3,9,0,1460.057671,1289.815,1433.830195,849.057671,849.057671,138.962,678.815,678.815,111.099,822.830195,822.830195,134.6694
50,2025-01-09,665,0.26,Bakery,Cakes,Perambalur,Central,2025,1,1,2,3,9,0,1561.219249,1472.205,1524.534683,896.219249,896.219249,134.7698,807.205,807.205,121.3842,859.534683,859.534683,129.2533
51,2025-01-09,832,0.13,Oil & Masala,Edible Oil & Ghee,Viluppuram,East,2025,1,1,2,3,9,0,1557.388837,1462.775,1532.811885,725.388837,725.388837,87.1862,630.775,630.775,75.8143,700.811885,700.811885,84.2322
52,2025-01-09,1045,0.35,Oil & Masala,Spices,Madurai,West,2025,1,1,2,3,9,0,1511.59476,1479.49,1514.279278,466.59476,466.59476,44.6502,434.49,434.49,41.578,469.279278,469.279278,44.9071
53,2025-01-09,1141,0.26,Food Grains,Atta & Flour,Nagercoil,West,2025,1,1,2,3,9,0,1464.116509,1363.57,1519.648759,323.116509,323.116509,28.3187,222.57,222.57,19.5066,378.648759,378.648759,33.1857
54,2025-01-09,1643,0.35,Beverages,Health Drinks,Karur,West,2025,1,1,2,3,9,0,1410.798079,1243.91,1403.316159,-232.201921,232.201921,14.1328,-399.09,399.09,24.2903,-239.683841,239.683841,14.5882
55,2025-01-09,2480,0.35,Oil & Masala,Masalas,Ooty,West,2025,1,1,2,3,9,0,1521.025007,1426.025,1504.106116,-958.974993,958.974993,38.6683,-1053.975,1053.975,42.499,-975.893884,975.893884,39.3506
56,2025-01-10,727,0.23,Food Grains,Rice,Tirunelveli,West,2025,1,1,2,4,10,0,1505.169795,1470.95,1539.513676,778.169795,778.169795,107.0385,743.95,743.95,102.3315,812.513676,812.513676,111.7625
57,2025-01-10,913,0.19,Fruits & Veggies,Organic Vegetables,Nagercoil,Central,2025,1,1,2,4,10,0,1460.491732,1035.695,1419.133351,547.491732,547.491732,59.9662,122.695,122.695,13.4387,506.133351,506.133351,55.4363
58,2025-01-10,1069,0.35,Food Grains,Organic Staples,Karur,West,2025,1,1,2,4,10,0,1481.166623,1482.13,1508.4221,412.166623,412.166623,38.5563,413.13,413.13,38.6464,439.4221,439.4221,41.1059
59,2025-01-10,1080,0.11,"Eggs, Meat & Fish",Eggs,Viluppuram,West,2025,1,1,2,4,10,0,1568.581608,1559.675,1544.945373,488.581608,488.581608,45.239,479.675,479.675,44.4144,464.945373,464.945373,43.0505
60,2025-01-10,1148,0.2,Beverages,Soft Drinks,Virudhunagar,West,2025,1,1,2,4,10,0,1467.869117,1432.475,1496.992745,319.869117,319.869117,27.8632,284.475,284.475,24.7801,348.992745,348.992745,30.4001
61,2025-01-10,1231,0.11,Fruits & Veggies,Organic Fruits,Bodi,West,2025,1,1,2,4,10,0,1482.061953,1383.32,1495.544752,251.061953,251.061953,20.395,152.32,152.32,12.3737,264.544752,264.544752,21.4902
62,2025-01-10,1668,0.1,Oil & Masala,Edible Oil & Ghee,Theni,West,2025,1,1,2,4,10,0,1537.044407,1519.425,1506.609046,-130.955593,130.955593,7.8511,-148.575,148.575,8.9074,-161.390954,161.390954,9.6757
63,2025-01-10,1879,0.28,"Eggs, Meat & Fish",Eggs,Trichy,West,2025,1,1,2,4,10,0,1562.726251,1658.315,1569.233248,-316.273749,316.273749,16.832,-220.685,220.685,11.7448,-309.766752,309.766752,16.4857
64,2025-01-10,1963,0.28,Food Grains,Atta & Flour,Coimbatore,East,2025,1,1,2,4,10,0,1471.631709,1320.965,1478.927672,-491.368291,491.368291,25.0315,-642.035,642.035,32.7068,-484.072328,484.072328,24.6598
65,2025-01-10,2207,0.33,Bakery,Biscuits,Virudhunagar,West,2025,1,1,2,4,10,0,1461.970604,1480.015,1516.412585,-745.029396,745.029396,33.7576,-726.985,726.985,32.94,-690.587415,690.587415,31.2908
66,2025-01-10,2246,0.31,Snacks,Cookies,Salem,Central,2025,1,1,2,4,10,0,1477.577631,1625.26,1492.332487,-768.422369,768.422369,34.2129,-620.74,620.74,27.6376,-753.667513,753.667513,33.556
67,2025-01-10,2325,0.27,"Eggs, Meat & Fish",Chicken,Dharmapuri,West,2025,1,1,2,4,10,0,1596.320904,1570.525,1551.740276,-728.679096,728.679096,31.341,-754.475,754.475,32.4505,-773.259724,773.259724,33.2585
68,2025-01-11,506,0.29,Bakery,Biscuits,Perambalur,West,2025,1,1,2,5,11,1,1557.961448,1426.635,1522.950546,1051.961448,1051.961448,207.8975,920.635,920.635,181.9437,1016.950546,1016.950546,200.9784
69,2025-01-11,1400,0.23,Oil & Masala,Edible Oil & Ghee,Nagercoil,East,2025,1,1,2,5,11,1,1459.818248,1558.51,1469.811466,59.818248,59.818248,4.2727,158.51,158.51,11.3221,69.811466,69.811466,4.9865
70,2025-01-11,2242,0.2,"Eggs, Meat & Fish",Fish,Virudhunagar,East,2025,1,1,2,5,11,1,1455.144316,1438.66,1449.695218,-786.855684,786.855684,35.0962,-803.34,803.34,35.8314,-792.304782,792.304782,35.3392
71,2025-01-11,2472,0.13,Oil & Masala,Edible Oil & Ghee,Madurai,West,2025,1,1,2,5,11,1,1558.090783,1482.365,1487.652672,-913.909217,913.909217,36.9704,-989.635,989.635,40.0338,-984.347328,984.347328,39.8199
72,2025-01-12,609,0.3,Fruits & Veggies,Organic Vegetables,Kanyakumari,Central,2025,1,1,2,6,12,1,1526.282899,1510.015,1486.918002,917.282899,917.282899,150.6212,901.015,901.015,147.9499,877.918002,877.918002,144.1573
73,2025-01-12,660,0.29,Beverages,Soft Drinks,Dharmapuri,East,2025,1,1,2,6,12,1,1553.960586,1466.975,1479.916238,893.960586,893.960586,135.4486,806.975,806.975,122.2689,819.916238,819.916238,124.2297
74,2025-01-12,750,0.16,Food Grains,Atta & Flour,Bodi,West,2025,1,1,2,6,12,1,1548.149245,1376.81,1484.166116,798.149245,798.149245,106.4199,626.81,626.81,83.5747,734.166116,734.166116,97.8888
75,2025-01-12,767,0.14,Oil & Masala,Spices,Viluppuram,Central,2025,1,1,2,6,12,1,1542.975766,1510.215,1531.122289,775.975766,775.975766,101.1702,743.215,743.215,96.899,764.122289,764.122289,99.6248
76,2025-01-12,774,0.3,Beverages,Soft Drinks,Krishnagiri,East,2025,1,1,2,6,12,1,1488.885329,1385.735,1448.80956,714.885329,714.885329,92.3624,611.735,611.735,79.0355,674.80956,674.80956,87.1847
77,2025-01-12,822,0.13,Beverages,Soft Drinks,Viluppuram,West,2025,1,1,2,6,12,1,1543.711096,1542.315,1522.338782,721.711096,721.711096,87.7994,720.315,720.315,87.6296,700.338782,700.338782,85.1994
78,2025-01-12,842,0.22,Snacks,Cookies,Dharmapuri,West,2025,1,1,2,6,12,1,1517.435521,1502.685,1486.265354,675.435521,675.435521,80.218,660.685,660.685,78.4662,644.265354,644.265354,76.5161
79,2025-01-12,856,0.11,Fruits & Veggies,Organic Fruits,Coimbatore,Central,2025,1,1,2,6,12,1,1426.023526,1415.15,1418.532268,570.023526,570.023526,66.5915,559.15,559.15,65.3213,562.532268,562.532268,65.7164
80,2025-01-12,891,0.29,Snacks,Chocolates,Krishnagiri,West,2025,1,1,2,6,12,1,1440.82223,1272.115,1435.311258,549.82223,549.82223,61.7084,381.115,381.115,42.7738,544.311258,544.311258,61.0899
81,2025-01-12,1000,0.18,Food Grains,Dals & Pulses,Tirunelveli,East,2025,1,1,2,6,12,1,1554.885187,1544.615,1538.636331,554.885187,554.885187,55.4885,544.615,544.615,54.4615,538.636331,538.636331,53.8636
82,2025-01-12,1072,0.3,"Eggs, Meat & Fish",Fish,Vellore,West,2025,1,1,2,6,12,1,1534.635186,1549.87,1500.261523,462.635186,462.635186,43.1563,477.87,477.87,44.5774,428.261523,428.261523,39.9498
83,2025-01-12,1086,0.23,Beverages,Health Drinks,Salem,East,2025,1,1,2,6,12,1,1484.087738,1488.105,1459.588215,398.087738,398.087738,36.6563,402.105,402.105,37.0262,373.588215,373.588215,34.4004
84,2025-01-12,1207,0.14,Fruits & Veggies,Fresh Vegetables,Dharmapuri,West,2025,1,1,2,6,12,1,1540.530753,1242.19,1479.228693,333.530753,333.530753,27.633,35.19,35.19,2.9155,272.228693,272.228693,22.5542
85,2025-01-12,1212,0.29,Bakery,Biscuits,Vellore,East,2025,1,1,2,6,12,1,1572.721933,1607.43,1557.862571,360.721933,360.721933,29.7625,395.43,395.43,32.6262,345.862571,345.862571,28.5365
86,2025-01-12,1213,0.23,Oil & Masala,Edible Oil & Ghee,Salem,East,2025,1,1,2,6,12,1,1551.570069,1720.535,1554.168701,338.570069,338.570069,27.9118,507.535,507.535,41.8413,341.168701,341.168701,28.126
87,2025-01-12,1250,0.32,Bakery,Breads & Buns,Nagercoil,West,2025,1,1,2,6,12,1,1411.131308,1545.605,1505.201526,161.131308,161.131308,12.8905,295.605,295.605,23.6484,255.201526,255.201526,20.4161
88,2025-01-12,1278,0.14,Oil & Masala,Masalas,Tenkasi,East,2025,1,1,2,6,12,1,1538.325287,1397.85,1519.048299,260.325287,260.325287,20.3697,119.85,119.85,9.3779,241.048299,241.048299,18.8614
89,2025-01-12,1436,0.33,Bakery,Biscuits,Tirunelveli,East,2025,1,1,2,6,12,1,1514.705025,1430.75,1507.238129,78.705025,78.705025,5.4809,-5.25,5.25,0.3656,71.238129,71.238129,4.9609
90,2025-01-12,1466,0.25,Oil & Masala,Edible Oil & Ghee,Perambalur,West,2025,1,1,2,6,12,1,1555.726693,1419.87,1484.109868,89.726693,89.726693,6.1205,-46.13,46.13,3.1467,18.109868,18.109868,1.2353
91,2025-01-12,1469,0.15,"Eggs, Meat & Fish",Chicken,Perambalur,Central,2025,1,1,2,6,12,1,1603.37975,1526.49,1538.589976,134.37975,134.37975,9.1477,57.49,57.49,3.9135,69.589976,69.589976,4.7372
92,2025-01-12,1483,0.29,Fruits & Veggies,Fresh Fruits,Ooty,West,2025,1,1,2,6,12,1,1486.94017,1311.535,1444.273072,3.94017,3.94017,0.2657,-171.465,171.465,11.562,-38.726928,38.726928,2.6114
93,2025-01-12,1491,0.12,"Eggs, Meat & Fish",Mutton,Perambalur,East,2025,1,1,2,6,12,1,1622.777394,1467.36,1522.752506,131.777394,131.777394,8.8382,-23.64,23.64,1.5855,31.752506,31.752506,2.1296
94,2025-01-12,1579,0.25,Bakery,Biscuits,Ramanadhapuram,West,2025,1,1,2,6,12,1,1519.108943,1442.91,1532.153713,-59.891057,59.891057,3.793,-136.09,136.09,8.6187,-46.846287,46.846287,2.9668
95,2025-01-12,1583,0.1,Bakery,Biscuits,Tirunelveli,West,2025,1,1,2,6,12,1,1551.396201,1684.475,1582.590127,-31.603799,31.603799,1.9964,101.475,101.475,6.4103,-0.409873,0.409873,0.0259
96,2025-01-12,1899,0.25,"Eggs, Meat & Fish",Eggs,Ramanadhapuram,Central,2025,1,1,2,6,12,1,1525.546763,1518.05,1515.513509,-373.453237,373.453237,19.6658,-380.95,380.95,20.0606,-383.486491,383.486491,20.1941
97,2025-01-12,1942,0.29,Beverages,Soft Drinks,Vellore,Central,2025,1,1,2,6,12,1,1554.581773,1561.255,1494.99517,-387.418227,387.418227,19.9494,-380.745,380.745,19.6058,-447.00483,447.00483,23.0178
98,2025-01-12,1994,0.31,Beverages,Health Drinks,Viluppuram,East,2025,1,1,2,6,12,1,1458.060982,1237.82,1412.855326,-535.939018,535.939018,26.8776,-756.18,756.18,37.9228,-581.144674,581.144674,29.1447
99,2025-01-12,2073,0.28,Bakery,Breads & Buns,Kanyakumari,West,2025,1,1,2,6,12,1,1500.40984,1525.8,1543.399875,-572.59016,572.59016,27.6213,-547.2,547.2,26.3965,-529.600125,529.600125,25.5475
100,2025-01-12,2106,0.32,Bakery,Breads & Buns,Krishnagiri,Central,2025,1,1,2,6,12,1,1464.5726,1474.345,1520.01393,-641.4274,641.4274,30.4571,-631.655,631.655,29.9931,-585.98607,585.98607,27.8246
101,2025-01-12,2114,0.32,Bakery,Breads & Buns,Salem,East,2025,1,1,2,6,12,1,1507.820117,1459.28,1555.902024,-606.179883,606.179883,28.6745,-654.72,654.72,30.9707,-558.097976,558.097976,26.4001
102,2025-01-12,2194,0.2,"Eggs, Meat & Fish",Mutton,Pudukottai,Central,2025,1,1,2,6,12,1,1595.803333,1695.915,1531.293209,-598.196667,598.196667,27.2651,-498.085,498.085,22.7021,-662.706791,662.706791,30.2054
103,2025-01-12,2263,0.19,"Eggs, Meat & Fish",Chicken,Ramanadhapuram,West,2025,1,1,2,6,12,1,1555.43074,1423.55,1504.823022,-707.56926,707.56926,31.2669,-839.45,839.45,37.0946,-758.176978,758.176978,33.5032
104,2025-01-12,2344,0.2,Fruits & Veggies,Organic Fruits,Tenkasi,East,2025,1,1,2,6,12,1,1441.857532,1405.86,1447.857859,-902.142468,902.142468,38.4873,-938.14,938.14,40.023,-896.142141,896.142141,38.2313
105,2025-01-12,2447,0.14,Oil & Masala,Spices,Virudhunagar,East,2025,1,1,2,6,12,1,1482.656598,1353.92,1493.698193,-964.343402,964.343402,39.4092,-1093.08,1093.08,44.6702,-953.301807,953.301807,38.958
106,2025-01-13,824,0.3,Food Grains,Organic Staples,Perambalur,Central,2025,1,1,3,0,13,0,1570.168339,1557.34,1528.216278,746.168339,746.168339,90.5544,733.34,733.34,88.9976,704.216278,704.216278,85.4631
107,2025-01-13,1545,0.24,Fruits & Veggies,Organic Vegetables,Tenkasi,Central,2025,1,1,3,0,13,0,1512.021352,1361.2,1469.297661,-32.978648,32.978648,2.1345,-183.8,183.8,11.8964,-75.702339,75.702339,4.8998
108,2025-01-13,2120,0.25,Oil & Masala,Masalas,Kanyakumari,Central,2025,1,1,3,0,13,0,1576.554396,1620.42,1568.112209,-543.445604,543.445604,25.6342,-499.58,499.58,23.5651,-551.887791,551.887791,26.0324
109,2025-01-13,2237,0.32,Beverages,Soft Drinks,Viluppuram,Central,2025,1,1,3,0,13,0,1528.609868,1550.095,1503.952741,-708.390132,708.390132,31.667,-686.905,686.905,30.7065,-733.047259,733.047259,32.7692
110,2025-01-14,517,0.19,"Eggs, Meat & Fish",Fish,Coimbatore,South,2025,1,1,3,1,14,0,1478.968823,1211.365,1489.746674,961.968823,961.968823,186.0675,694.365,694.365,134.3066,972.746674,972.746674,188.1522
111,2025-01-14,569,0.3,Bakery,Breads & Buns,Namakkal,Central,2025,1,1,3,1,14,0,1470.489732,1546.94,1538.084891,901.489732,901.489732,158.434,977.94,977.94,171.8699,969.084891,969.084891,170.3137
112,2025-01-14,636,0.17,"Eggs, Meat & Fish",Mutton,Trichy,South,2025,1,1,3,1,14,0,1647.668852,1792.065,1633.525197,1011.668852,1011.668852,159.0674,1156.065,1156.065,181.7712,997.525197,997.525197,156.8436
113,2025-01-14,770,0.22,Snacks,Cookies,Coimbatore,South,2025,1,1,3,1,14,0,1446.505013,1402.765,1451.486847,676.505013,676.505013,87.8578,632.765,632.765,82.1773,681.486847,681.486847,88.5048
114,2025-01-14,839,0.29,Food Grains,Atta & Flour,Krishnagiri,South,2025,1,1,3,1,14,0,1545.634472,1564.125,1536.716881,706.634472,706.634472,84.2234,725.125,725.125,86.4273,697.716881,697.716881,83.1605
115,2025-01-14,1640,0.24,"Eggs, Meat & Fish",Eggs,Dindigul,South,2025,1,1,3,1,14,0,1477.061209,1639.77,1509.912026,-162.938791,162.938791,9.9353,-0.23,0.23,0.014,-130.087974,130.087974,7.9322
116,2025-01-14,1649,0.12,Snacks,Chocolates,Nagercoil,Central,2025,1,1,3,1,14,0,1427.954221,1236.55,1411.594942,-221.045779,221.045779,13.4048,-412.45,412.45,25.0121,-237.405058,237.405058,14.3969
