rad_id_2025,Order Date,Sales_faktisk,Discount,Category,Sub Category,City,Region,year,month,quarter,weekofyear,dayofweek,dayofmonth,is_weekend,prognose_lineaer_regresjon,prognose_random_forest_baseline,prognose_random_forest_tuned
131,2025-01-15,1504,0.18,Oil & Masala,Edible Oil & Ghee,Dindigul,East,2025,1,1,3,2,15,0,1452.29673,1513.475,1488.704914
132,2025-01-15,1578,0.26,Food Grains,Atta & Flour,Madurai,Central,2025,1,1,3,2,15,0,1555.190813,1572.54,1542.127468
133,2025-01-15,1821,0.26,Bakery,Biscuits,Krishnagiri,East,2025,1,1,3,2,15,0,1521.88012,1727.68,1571.405273
134,2025-01-15,1937,0.23,Fruits & Veggies,Fresh Fruits,Perambalur,Central,2025,1,1,3,2,15,0,1552.530664,1491.915,1503.275622
135,2025-01-15,2440,0.28,Food Grains,Atta & Flour,Nagercoil,East,2025,1,1,3,2,15,0,1471.070119,1540.44,1510.451404
136,2025-01-16,540,0.14,Snacks,Noodles,Tenkasi,West,2025,1,1,3,3,16,0,1479.82199,1494.655,1507.508162
137,2025-01-16,1188,0.35,Snacks,Noodles,Viluppuram,Central,2025,1,1,3,3,16,0,1485.412503,1679.795,1528.939633
138,2025-01-16,1520,0.12,Beverages,Soft Drinks,Perambalur,Central,2025,1,1,3,3,16,0,1573.548607,1482.535,1507.095888
139,2025-01-16,1717,0.28,Beverages,Health Drinks,Viluppuram,Central,2025,1,1,3,3,16,0,1467.884455,1367.56,1454.768032
140,2025-01-16,1792,0.2,Beverages,Health Drinks,Dharmapuri,West,2025,1,1,3,3,16,0,1517.33246,1494.825,1489.892196
141,2025-01-19,853,0.19,Oil & Masala,Spices,Bodi,East,2025,1,1,3,6,19,1,1529.314587,1362.53,1493.885632
142,2025-01-19,1015,0.18,Bakery,Biscuits,Tenkasi,East,2025,1,1,3,6,19,1,1516.665678,1502.525,1545.961158
143,2025-01-19,1286,0.21,Snacks,Noodles,Viluppuram,East,2025,1,1,3,6,19,1,1509.212157,1348.255,1475.847193
144,2025-01-19,1296,0.22,Oil & Masala,Masalas,Virudhunagar,East,2025,1,1,3,6,19,1,1508.996427,1473.5,1505.588148
145,2025-01-19,1791,0.18,Beverages,Soft Drinks,Theni,East,2025,1,1,3,6,19,1,1521.908605,1346.32,1472.095727
146,2025-01-19,1935,0.21,"Eggs, Meat & Fish",Mutton,Dindigul,East,2025,1,1,3,6,19,1,1485.891919,1415.27,1449.288738
147,2025-01-19,2085,0.19,Fruits & Veggies,Organic Vegetables,Tirunelveli,Central,2025,1,1,3,6,19,1,1536.668832,1370.28,1495.867571
148,2025-01-19,2126,0.28,Fruits & Veggies,Fresh Vegetables,Dharmapuri,East,2025,1,1,3,6,19,1,1524.154702,1427.475,1495.541814
149,2025-01-19,2314,0.32,Fruits & Veggies,Fresh Vegetables,Trichy,East,2025,1,1,3,6,19,1,1504.628684,1494.32,1506.385783
150,2025-01-20,531,0.32,Snacks,Noodles,Salem,East,2025,1,1,4,0,20,0,1520.981525,1700.12,1578.411859
151,2025-01-20,938,0.26,Bakery,Biscuits,Perambalur,Central,2025,1,1,4,0,20,0,1581.43319,1622.11,1576.570515
152,2025-01-20,1206,0.17,Snacks,Noodles,Vellore,West,2025,1,1,4,0,20,0,1569.976466,1577.57,1550.475541
153,2025-01-20,1379,0.2,Fruits & Veggies,Organic Vegetables,Tirunelveli,West,2025,1,1,4,0,20,0,1553.198289,1579.625,1523.310964
154,2025-01-20,1805,0.23,Fruits & Veggies,Organic Fruits,Perambalur,East,2025,1,1,4,0,20,0,1522.699338,1421.31,1527.576747
155,2025-01-20,2392,0.19,Snacks,Cookies,Tenkasi,West,2025,1,1,4,0,20,0,1468.454738,1394.645,1464.499349
156,2025-01-21,1016,0.3,"Eggs, Meat & Fish",Fish,Ooty,Central,2025,1,1,4,1,21,0,1490.718083,1559.255,1544.055324
157,2025-01-21,1028,0.23,Fruits & Veggies,Organic Fruits,Virudhunagar,Central,2025,1,1,4,1,21,0,1432.414462,1601.61,1522.600862
158,2025-01-21,1056,0.2,Snacks,Chocolates,Pudukottai,South,2025,1,1,4,1,21,0,1533.89762,1537.905,1514.343117
159,2025-01-21,1288,0.1,Fruits & Veggies,Fresh Vegetables,Tirunelveli,South,2025,1,1,4,1,21,0,1538.325679,1770.98,1567.51413
160,2025-01-21,1333,0.23,Snacks,Cookies,Pudukottai,West,2025,1,1,4,1,21,0,1510.319759,1545.885,1488.430991
161,2025-01-21,1398,0.19,Food Grains,Atta & Flour,Viluppuram,Central,2025,1,1,4,1,21,0,1574.740456,1734.295,1589.738117
162,2025-01-21,1399,0.26,Snacks,Noodles,Perambalur,West,2025,1,1,4,1,21,0,1535.078493,1561.395,1542.217041
163,2025-01-21,1405,0.14,Bakery,Breads & Buns,Virudhunagar,West,2025,1,1,4,1,21,0,1480.067779,1588.165,1591.092199
164,2025-01-21,1778,0.16,Food Grains,Organic Staples,Salem,Central,2025,1,1,4,1,21,0,1586.380353,1763.865,1602.577949
165,2025-01-21,1842,0.25,Oil & Masala,Edible Oil & Ghee,Karur,Central,2025,1,1,4,1,21,0,1511.494134,1800.27,1570.580981
166,2025-01-21,2014,0.28,Snacks,Noodles,Madurai,West,2025,1,1,4,1,21,0,1510.785922,1533.725,1537.652732
167,2025-01-21,2103,0.1,Beverages,Soft Drinks,Pudukottai,West,2025,1,1,4,1,21,0,1578.545498,1627.135,1537.594642
168,2025-01-21,2153,0.27,Snacks,Chocolates,Tenkasi,Central,2025,1,1,4,1,21,0,1449.378206,1463.215,1494.952714
169,2025-01-21,2158,0.28,Oil & Masala,Spices,Vellore,West,2025,1,1,4,1,21,0,1578.186205,1502.365,1557.998328
170,2025-01-22,595,0.21,"Eggs, Meat & Fish",Eggs,Coimbatore,West,2025,1,1,4,2,22,0,1499.60897,1731.5,1595.58099
171,2025-01-22,1170,0.17,"Eggs, Meat & Fish",Eggs,Chennai,West,2025,1,1,4,2,22,0,1553.393322,1756.635,1602.294195
172,2025-01-22,1202,0.19,Beverages,Health Drinks,Dindigul,Central,2025,1,1,4,2,22,0,1386.081351,1553.165,1444.91205
173,2025-01-22,1381,0.24,"Eggs, Meat & Fish",Eggs,Bodi,West,2025,1,1,4,2,22,0,1551.278195,1588.575,1559.525089
174,2025-01-22,1815,0.12,Snacks,Noodles,Tenkasi,West,2025,1,1,4,2,22,0,1491.860271,1551.925,1514.838935
175,2025-01-22,2155,0.21,Oil & Masala,Edible Oil & Ghee,Ramanadhapuram,Central,2025,1,1,4,2,22,0,1535.355428,1690.78,1561.353665
176,2025-01-23,700,0.27,Food Grains,Dals & Pulses,Ramanadhapuram,West,2025,1,1,4,3,23,0,1543.599366,1685.165,1578.586048
177,2025-01-23,1133,0.32,Bakery,Cakes,Tenkasi,West,2025,1,1,4,3,23,0,1499.629765,1531.515,1552.902239
178,2025-01-23,1682,0.33,Snacks,Chocolates,Tirunelveli,West,2025,1,1,4,3,23,0,1461.841201,1372.99,1470.765958
179,2025-01-23,1768,0.28,Bakery,Biscuits,Dindigul,West,2025,1,1,4,3,23,0,1441.589461,1473.45,1498.867899
180,2025-01-23,1837,0.34,Fruits & Veggies,Fresh Vegetables,Perambalur,Central,2025,1,1,4,3,23,0,1505.482218,1388.605,1483.45094
181,2025-01-23,2149,0.17,Beverages,Soft Drinks,Virudhunagar,West,2025,1,1,4,3,23,0,1486.914521,1467.865,1506.605808
182,2025-01-23,2217,0.26,Fruits & Veggies,Organic Fruits,Nagercoil,West,2025,1,1,4,3,23,0,1401.864099,1521.055,1523.117752
183,2025-01-24,703,0.3,Fruits & Veggies,Organic Vegetables,Dindigul,South,2025,1,1,4,4,24,0,1450.783547,1520.11,1476.561014
184,2025-01-24,1073,0.13,Food Grains,Organic Staples,Dindigul,West,2025,1,1,4,4,24,0,1463.907079,1556.505,1491.222169
185,2025-01-24,1698,0.19,"Eggs, Meat & Fish",Fish,Vellore,West,2025,1,1,4,4,24,0,1562.155796,1535.88,1539.568142
186,2025-01-24,1758,0.25,Food Grains,Organic Staples,Cumbum,West,2025,1,1,4,4,24,0,1528.940319,1460.8,1538.705983
187,2025-01-26,638,0.1,Snacks,Noodles,Krishnagiri,South,2025,1,1,4,6,26,1,1523.313753,1622.715,1532.889538
188,2025-01-26,1046,0.17,Snacks,Cookies,Theni,South,2025,1,1,4,6,26,1,1500.890555,1414.08,1485.754347
189,2025-01-26,1328,0.14,Food Grains,Atta & Flour,Vellore,South,2025,1,1,4,6,26,1,1633.738876,1582.43,1551.051152
190,2025-01-26,1693,0.21,"Eggs, Meat & Fish",Chicken,Coimbatore,Central,2025,1,1,4,6,26,1,1512.554089,1700.38,1534.850328
191,2025-01-26,1764,0.23,Beverages,Health Drinks,Chennai,West,2025,1,1,4,6,26,1,1457.857053,1435.49,1451.008702
192,2025-01-26,2086,0.28,"Eggs, Meat & Fish",Mutton,Coimbatore,South,2025,1,1,4,6,26,1,1533.891794,1418.9,1513.289406
193,2025-01-27,559,0.19,Snacks,Cookies,Kanyakumari,East,2025,1,1,5,0,27,0,1516.959356,1534.42,1512.786195
